Date,Rank,Game,Viewers,Channels,GiantBomb ID
2018-10-04 21:24,0,Fortnite,199966,15458,37030
2018-10-04 21:24,1,League of Legends,90137,2437,24024
2018-10-04 21:24,2,Sports & Fitness,82306,18,0
2018-10-04 21:24,3,Just Chatting,57015,540,0
2018-10-04 21:24,4,Assassin's Creed Odyssey,46903,346,68771
2018-10-04 21:24,5,World of Warcraft,41666,2516,19783
2018-10-04 21:24,6,Overwatch,26281,1634,48190
2018-10-04 21:24,7,FIFA 19,22359,433,68608
2018-10-04 21:24,8,PLAYERUNKNOWN'S BATTLEGROUNDS,20991,1346,54979
2018-10-04 21:24,9,Counter-Strike: Global Offensive,19431,935,36113
2018-10-04 21:24,10,Dota 2,18378,388,32887
2018-10-04 21:24,11,Grand Theft Auto V,17746,428,36765
2018-10-04 21:24,12,Casino,16997,30,0
2018-10-04 21:24,13,Dead by Daylight,14272,781,52693
2018-10-04 21:24,14,Destiny 2,13673,1480,52647
2018-10-04 21:24,15,Magic: The Gathering,13447,258,68425
2018-10-04 21:24,16,Always On,12628,19,0
2018-10-04 21:24,17,Music & Performing Arts,11167,257,29887
2018-10-04 21:24,18,Hearthstone,10866,181,42033
2018-10-04 21:24,19,Tom Clancy's Rainbow Six: Siege,10098,1251,46562
2018-10-04 21:24,20,MapleStory 2,9719,175,48529
2018-10-04 21:24,21,Talk Shows & Podcasts,9161,125,0
2018-10-04 21:24,22,Path of Exile,6245,196,32562
2018-10-04 21:24,23,Monster Hunter World,5597,365,59924
2018-10-04 21:24,24,Minecraft,5136,332,30475
