Date,Rank,Game,Viewers,Channels,GiantBomb ID
2018-10-04 21:20,0,Fortnite,185317,15477,37030
2018-10-04 21:20,1,League of Legends,104563,2418,24024
2018-10-04 21:20,2,Sports & Fitness,80496,16,0
2018-10-04 21:20,3,Just Chatting,54927,543,0
2018-10-04 21:20,4,Assassin's Creed Odyssey,47837,349,68771
2018-10-04 21:20,5,World of Warcraft,41758,2456,19783
2018-10-04 21:20,6,Overwatch,26125,1624,48190
2018-10-04 21:20,7,Dota 2,25221,391,32887
2018-10-04 21:20,8,FIFA 19,22443,444,68608
2018-10-04 21:20,9,PLAYERUNKNOWN'S BATTLEGROUNDS,21620,1343,54979
2018-10-04 21:20,10,Counter-Strike: Global Offensive,19424,948,36113
2018-10-04 21:20,11,Grand Theft Auto V,17915,439,36765
2018-10-04 21:20,12,Casino,16781,30,0
2018-10-04 21:20,13,Destiny 2,15245,1460,52647
2018-10-04 21:20,14,Dead by Daylight,14047,784,52693
2018-10-04 21:20,15,Magic: The Gathering,13646,253,68425
2018-10-04 21:20,16,Always On,12688,19,0
2018-10-04 21:20,17,Hearthstone,10986,180,42033
2018-10-04 21:20,18,Music & Performing Arts,10939,257,29887
2018-10-04 21:20,19,Tom Clancy's Rainbow Six: Siege,9937,1242,46562
2018-10-04 21:20,20,MapleStory 2,9633,176,48529
2018-10-04 21:20,21,Talk Shows & Podcasts,9196,125,0
2018-10-04 21:20,22,Path of Exile,6150,195,32562
2018-10-04 21:20,23,Monster Hunter World,5644,363,59924
2018-10-04 21:20,24,Warframe,5121,196,38788
