,Date,Rank,Game,Viewers,Channels,GiantBomb ID
0,2018-10-04 19:02,0,Fortnite,151951,14117,37030
1,2018-10-04 19:02,1,League of Legends,133816,2448,24024
2,2018-10-04 19:02,2,World of Warcraft,60135,1252,19783
3,2018-10-04 19:02,3,FIFA 19,43973,685,68608
4,2018-10-04 19:02,4,Dota 2,43866,532,32887
5,2018-10-04 19:02,5,Counter-Strike: Global Offensive,43037,1110,36113
6,2018-10-04 19:02,6,Just Chatting,42494,539,0
7,2018-10-04 19:02,7,Warframe,31605,177,38788
8,2018-10-04 19:02,8,Assassin's Creed Odyssey,30936,424,68771
9,2018-10-04 19:02,9,PLAYERUNKNOWN'S BATTLEGROUNDS,26818,1345,54979
10,2018-10-04 19:02,10,Overwatch,26110,1269,48190
11,2018-10-04 19:02,11,Grand Theft Auto V,25471,539,36765
12,2018-10-04 19:02,12,Hearthstone,20463,179,42033
13,2018-10-04 19:02,13,Casino,19337,44,0
14,2018-10-04 19:02,14,Destiny 2,14384,1252,52647
15,2018-10-04 19:02,15,Always On,14022,18,0
16,2018-10-04 19:02,16,Magic: The Gathering,13789,252,68425
17,2018-10-04 19:02,17,Dead by Daylight,13276,713,52693
18,2018-10-04 19:02,18,Escape From Tarkov,12369,220,53106
19,2018-10-04 19:02,19,Tales of Berseria,11245,10,49874
20,2018-10-04 19:02,20,Tom Clancy's Rainbow Six: Siege,9995,1004,46562
21,2018-10-04 19:02,21,Mega Man 11,9736,88,63036
22,2018-10-04 19:02,22,Special Events,8717,14,0
23,2018-10-04 19:02,23,Battlerite Royale,8507,137,69841
24,2018-10-04 19:02,24,Path of Exile,8018,222,32562
